Datetime,Calories,CHO,FAT,PRO
2020-10-06T00:00:00Z,1721.8,159.8,66,67.6
2020-10-07T00:00:00Z,1140,140.3,38.9,57.8
2020-10-08T00:00:00Z,2345.5,247.8,104.19999999999999,80.69999999999999
2020-10-09T00:00:00Z,3137.7,346,153.9,93.7
2020-10-10T00:00:00Z,2860,293.8,91,89.4
2020-10-11T00:00:00Z,2770,334,73.2,72.8
2020-10-12T00:00:00Z,2417.4,188.8,131.4,87.19999999999999
2020-10-13T00:00:00Z,2102.7,185.1,25,51.3
2020-10-14T00:00:00Z,4744,543.6,241.5,115
2020-10-15T00:00:00Z,3456.8,312.6,181.9,104.8
2020-10-16T00:00:00Z,2210,197.6,122.9,96.5
2020-10-17T00:00:00Z,2749.3999999999996,235.7,124.9,84.4
2020-10-18T00:00:00Z,2325.4,250.4,102.7,104.2
2020-10-19T00:00:00Z,2863.5,292.29999999999995,105.5,101.19999999999999
2020-10-20T00:00:00Z,3399.3,446.4,127.80000000000001,75.2
2020-10-21T00:00:00Z,3943.5,426.8,161.1,79.8
2020-10-22T00:00:00Z,1542,118.5,24.9,51.3
2020-10-23T00:00:00Z,1539.2,151.1,74.2,70.3
2020-10-24T00:00:00Z,1907.9,192.1,81.6,78.7
2020-10-25T00:00:00Z,3368.3,327.1,139.2,123.9
2020-10-26T00:00:00Z,2848.2,258.1,135.5,119.69999999999999
2020-10-27T00:00:00Z,3060.3,345.2,125,101.1
2020-10-28T00:00:00Z,2430,256.8,115.2,90.80000000000001
2020-10-29T00:00:00Z,2095.2,209.3,122.1,56.1
2020-10-30T00:00:00Z,3038.7999999999997,287.5,133.2,113.1
2020-10-31T00:00:00Z,2068.2,157.7,92.4,78
2020-11-01T00:00:00Z,3329.9,305.2,152.7,126.89999999999999
2020-11-02T00:00:00Z,2486.5,200.5,129.8,113.1
2020-11-03T00:00:00Z,2145.2,162.4,127.3,102.39999999999999
2020-11-04T00:00:00Z,2329.3,232.5,115.1,104.7
2020-11-05T00:00:00Z,2294.7,173.6,113.5,104.3
2020-11-06T00:00:00Z,2694.6,224.10000000000002,122.2,114.5
2020-11-07T00:00:00Z,3869.7,410.1,173.1,120
2020-11-08T00:00:00Z,2301,172.8,107.69999999999999,133.2
2020-11-09T00:00:00Z,2121.1,245,92.7,90.7
2020-11-10T00:00:00Z,1582.4,238.60000000000002,39,87.6
2020-11-11T00:00:00Z,2117.8,144.20000000000002,100,137.8
2020-11-12T00:00:00Z,2365,254.3,85.89999999999999,163.8
2020-11-13T00:00:00Z,3959.3,422.79999999999995,140.7,182.9
2020-11-14T00:00:00Z,1921.6,176.6,85,118.4
2020-11-15T00:00:00Z,2165.8,240.2,79.3,95.5
2020-11-16T00:00:00Z,2165.8999999999996,203.8,74.2,112
2020-11-17T00:00:00Z,2242.6,162.9,83.5,133.39999999999998
2020-11-18T00:00:00Z,1478.6,186.7,46.2,49
